locus	ensg_id	gene_symbol	alignment_length	gc_percent	variable_sites	parsimony_informative_sites	pct_informative_sites	gc3_bucket	resolution_bucket	rate_bucket	completeness_bucket
ENSG00000104888_SLC17A7	ENSG00000104888	SLC17A7	1683	60.30	547	270	16.04			fast	80
ENSG00000104889_RNASEH2A	ENSG00000104889	RNASEH2A	903	59.11	380	219	24.25	GC1	70	fast	70
ENSG00000104894_CD37	ENSG00000104894	CD37	846	58.03	545	265	31.32		70	fast	80
ENSG00000104901_DKKL1	ENSG00000104901	DKKL1	714	61.75	438	231	32.35			fast	80
ENSG00000104907_TRMT1	ENSG00000104907	TRMT1	1980	62.38	1102	568	28.69	GC1	70	fast	80
ENSG00000104941_RSPH6A	ENSG00000104941	RSPH6A	2142	63.06	1216	786	36.69			fast	90
ENSG00000104946_TBC1D17	ENSG00000104946	TBC1D17	1947	63.27	894	473	24.29			fast	90
ENSG00000104953_TLE6	ENSG00000104953	TLE6	1350	62.83	1019	653	48.37		70	fast	
ENSG00000104957_CCDC130	ENSG00000104957	CCDC130	1194	60.83	615	368	30.82		70	fast	80
ENSG00000104960_PTOV1	ENSG00000104960	PTOV1	1251	65.19	459	217	17.35			fast	80
ENSG00000104973_MED25	ENSG00000104973	MED25	2241	66.27	1111	625	27.89			fast	90
ENSG00000104976_SNAPC2	ENSG00000104976	SNAPC2	1017	66.24	690	392	38.54	GC1	70	fast	70
ENSG00000104980_TIMM44	ENSG00000104980	TIMM44	1359	56.58	618	325	23.91		70	fast	90
ENSG00000104983_CCDC61	ENSG00000104983	CCDC61	1449	65.17	829	373	25.74			slow	70
ENSG00000104998_IL27RA	ENSG00000104998	IL27RA	1890	61.63	1360	831	43.97	GC1	70	fast	90
ENSG00000105048_TNNT1	ENSG00000105048	TNNT1	786	58.27	394	170	21.63			slow	70
ENSG00000105053_VRK3	ENSG00000105053	VRK3	1362	56.24	879	509	37.37	GC1	70	fast	90
ENSG00000105063_PPP6R1	ENSG00000105063	PPP6R1	2637	63.02	1347	775	29.39		80	fast	80
ENSG00000105127_AKAP8	ENSG00000105127	AKAP8	2073	56.74	1056	671	32.37	GC1	70	slow	70
ENSG00000105135_ILVBL	ENSG00000105135	ILVBL	1899	61.59	902	546	28.75	GC1	70	slow	80
ENSG00000105141_CASP14	ENSG00000105141	CASP14	729	53.51	387	245	33.61	GC1	70	fast	80
ENSG00000105146_AURKC	ENSG00000105146	AURKC	924	53.28	537	276	29.87	GC1		fast	70
ENSG00000105171_POP4	ENSG00000105171	POP4	663	52.04	374	219	33.03	GC1		fast	90
ENSG00000105173_CCNE1	ENSG00000105173	CCNE1	1233	47.92	601	397	32.20	GC2		slow	90
ENSG00000105176_URI1	ENSG00000105176	URI1	1494	41.46	826	470	31.46	GC3	70	fast	90
ENSG00000105186_ANKRD27	ENSG00000105186	ANKRD27	3153	51.51	1668	1010	32.03	GC2	70	fast	90
ENSG00000105197_TIMM50	ENSG00000105197	TIMM50	1131	59.96	463	266	23.52	GC1	70	fast	90
ENSG00000105202_FBL	ENSG00000105202	FBL	942	58.30	291	183	19.43	GC1		slow	70
ENSG00000105204_DYRK1B	ENSG00000105204	DYRK1B	1890	63.22	507	184	9.74			fast	70
ENSG00000105221_AKT2	ENSG00000105221	AKT2	1446	59.23	515	225	15.56			slow	90
ENSG00000105223_PLD3	ENSG00000105223	PLD3	1473	61.64	599	297	20.16			slow	90
ENSG00000105227_PRX	ENSG00000105227	PRX	4161	65.07	2426	1354	32.54		90	slow	80
ENSG00000105229_PIAS4	ENSG00000105229	PIAS4	1539	62.38	601	374	24.30			fast	80
ENSG00000105245_NUMBL	ENSG00000105245	NUMBL	1803	66.85	708	372	20.63			slow	80
ENSG00000105246_EBI3	ENSG00000105246	EBI3	690	63.75	441	267	38.70			slow	70
ENSG00000105248_CCDC94	ENSG00000105248	CCDC94	966	60.30	493	272	28.16			fast	90
ENSG00000105251_SHD	ENSG00000105251	SHD	1023	64.12	607	306	29.91			fast	90
ENSG00000105254_TBCB	ENSG00000105254	TBCB	735	57.71	310	185	25.17	GC1		fast	90
ENSG00000105255_FSD1	ENSG00000105255	FSD1	1491	60.85	583	283	18.98			fast	90
ENSG00000105261_OVOL3	ENSG00000105261	OVOL3	630	64.64	373	212	33.65	GC1		fast	80
ENSG00000105270_CLIP3	ENSG00000105270	CLIP3	1644	60.86	619	307	18.67	GC1		slow	90
ENSG00000105281_SLC1A5	ENSG00000105281	SLC1A5	1626	63.18	935	531	32.66			fast	90
ENSG00000105289_TJP3	ENSG00000105289	TJP3	2760	64.85	1727	956	34.64		70	fast	90
ENSG00000105290_APLP1	ENSG00000105290	APLP1	1962	62.77	1032	476	24.26	GC1		fast	80
ENSG00000105323_HNRNPUL1	ENSG00000105323	HNRNPUL1	2571	57.60	859	425	16.53	GC1	70	fast	90
ENSG00000105325_FZR1	ENSG00000105325	FZR1	1482	62.62	463	230	15.52			slow	
ENSG00000105339_DENND3	ENSG00000105339	DENND3	3600	58.20	1918	1252	34.78		80	fast	80
ENSG00000105341_ATP5SL	ENSG00000105341	ATP5SL	774	61.43	482	274	35.40			slow	70
ENSG00000105355_PLIN3	ENSG00000105355	PLIN3	1317	64.40	865	440	33.41		70	fast	70
ENSG00000105364_MRPL4	ENSG00000105364	MRPL4	885	65.07	502	267	30.17			fast	80
ENSG00000105369_CD79A	ENSG00000105369	CD79A	675	60.78	477	287	42.52			fast	70
ENSG00000105373_GLTSCR2	ENSG00000105373	GLTSCR2	1437	65.09	860	436	30.34			slow	70
ENSG00000105376_ICAM5	ENSG00000105376	ICAM5	2766	67.91	1504	827	29.90			fast	80
ENSG00000105379_ETFB	ENSG00000105379	ETFB	768	61.66	340	174	22.66			slow	70
ENSG00000105397_TYK2	ENSG00000105397	TYK2	3555	62.20	2098	1139	32.04		70	fast	80
ENSG00000105402_NAPA	ENSG00000105402	NAPA	888	56.73	247	152	17.12			slow	80
ENSG00000105409_ATP1A3	ENSG00000105409	ATP1A3	3042	58.89	975	498	16.37		70	fast	90
ENSG00000105419_MEIS3	ENSG00000105419	MEIS3	1137	60.96	537	231	20.32			slow	70
ENSG00000105429_MEGF8	ENSG00000105429	MEGF8	8370	66.12	3323	1546	18.47		80	fast	70
ENSG00000105443_CYTH2	ENSG00000105443	CYTH2	1203	58.52	351	181	15.05			slow	80
ENSG00000105447_GRWD1	ENSG00000105447	GRWD1	1341	64.33	510	307	22.89			slow	80
ENSG00000105467_SYNGR4	ENSG00000105467	SYNGR4	705	62.09	442	238	33.76			slow	70
ENSG00000105486_LIG1	ENSG00000105486	LIG1	2754	61.22	1522	812	29.48		80	fast	80
ENSG00000105514_RAB3D	ENSG00000105514	RAB3D	660	59.36	229	126	19.09			slow	80
ENSG00000105516_DBP	ENSG00000105516	DBP	978	69.63	348	163	16.67		70	slow	
ENSG00000105520_NONAME	ENSG00000105520	NONAME	1032	65.82	532	248	24.03			fast	80
ENSG00000105523_FAM83E	ENSG00000105523	FAM83E	1443	68.64	908	485	33.61			slow	70
ENSG00000105538_RASIP1	ENSG00000105538	RASIP1	2892	66.46	1471	675	23.34		70	fast	70
ENSG00000105550_FGF21	ENSG00000105550	FGF21	630	63.97	365	225	35.71	GC1		fast	80
ENSG00000105552_BCAT2	ENSG00000105552	BCAT2	1182	60.10	597	360	30.46			fast	80
ENSG00000105559_PLEKHA4	ENSG00000105559	PLEKHA4	2340	65.32	1414	774	33.08	GC1	80	fast	90
ENSG00000105576_TNPO2	ENSG00000105576	TNPO2	2664	57.96	695	412	15.47		70	slow	80
ENSG00000105607_GCDH	ENSG00000105607	GCDH	1317	60.00	594	338	25.66			fast	80
ENSG00000105612_DNASE2	ENSG00000105612	DNASE2	1059	59.76	634	381	35.98	GC1	70	slow	70
ENSG00000105617_LENG1	ENSG00000105617	LENG1	792	62.58	453	296	37.37	GC1		fast	90
ENSG00000105618_PRPF31	ENSG00000105618	PRPF31	1500	60.02	441	246	16.40			fast	90
ENSG00000105639_JAK3	ENSG00000105639	JAK3	3315	61.93	1716	864	26.06		80	fast	80
ENSG00000105641_SLC5A5	ENSG00000105641	SLC5A5	1929	62.24	1128	634	32.87		80	fast	80
ENSG00000105650_PDE4C	ENSG00000105650	PDE4C	2127	60.09	1195	699	32.86			fast	80
ENSG00000105655_ISYNA1	ENSG00000105655	ISYNA1	1680	63.64	755	391	23.27		70	fast	70
ENSG00000105664_COMP	ENSG00000105664	COMP	2271	62.71	998	570	25.10		70	slow	70
ENSG00000105668_UPK1A	ENSG00000105668	UPK1A	774	59.11	304	159	20.54			slow	80
ENSG00000105669_COPE	ENSG00000105669	COPE	927	61.68	355	205	22.11			fast	80
ENSG00000105671_DDX49	ENSG00000105671	DDX49	1452	59.66	541	304	20.94			slow	70
ENSG00000105675_ATP4A	ENSG00000105675	ATP4A	3105	59.09	1097	535	17.23			slow	70
ENSG00000105676_ARMC6	ENSG00000105676	ARMC6	1431	62.09	782	455	31.80			fast	70
ENSG00000105677_TMEM147	ENSG00000105677	TMEM147	675	56.62	182	108	16.00			slow	80
ENSG00000105679_GAPDHS	ENSG00000105679	GAPDHS	1209	57.18	706	395	32.67	GC1	70	fast	80
ENSG00000105695_MAG	ENSG00000105695	MAG	1881	63.15	793	385	20.47		70	fast	90
ENSG00000105699_LSR	ENSG00000105699	LSR	1806	62.41	1064	584	32.34	GC1		fast	80
ENSG00000105701_FKBP8	ENSG00000105701	FKBP8	1233	62.86	515	236	19.14			slow	70
ENSG00000105707_HPN	ENSG00000105707	HPN	1254	63.74	533	283	22.57			slow	70
ENSG00000105711_SCN1B	ENSG00000105711	SCN1B	657	57.53	320	136	20.70			slow	80
ENSG00000105722_ERF	ENSG00000105722	ERF	1647	65.64	496	289	17.55			slow	80
ENSG00000105726_ATP13A1	ENSG00000105726	ATP13A1	3591	61.11	1399	747	20.80		80	fast	80
ENSG00000105737_GRIK5	ENSG00000105737	GRIK5	2580	60.72	872	383	14.84			slow	
ENSG00000105755_ETHE1	ENSG00000105755	ETHE1	765	59.70	329	162	21.18	GC1		fast	80
ENSG00000105767_CADM4	ENSG00000105767	CADM4	1125	61.59	380	216	19.20		70	slow	90
ENSG00000105778_AVL9	ENSG00000105778	AVL9	1950	46.81	778	461	23.64	GC3	70	slow	90
ENSG00000105784_RUNDC3B	ENSG00000105784	RUNDC3B	1419	44.01	407	171	12.05	GC3		slow	80
ENSG00000105792_CFAP69	ENSG00000105792	CFAP69	2826	37.90	1387	666	23.57	GC3	80	fast	90
ENSG00000105793_GTPBP10	ENSG00000105793	GTPBP10	1164	39.20	541	253	21.74	GC3	70	slow	80
ENSG00000105810_CDK6	ENSG00000105810	CDK6	981	51.89	327	162	16.51	GC2		slow	90
ENSG00000105819_PMPCB	ENSG00000105819	PMPCB	1470	45.53	575	316	21.50	GC3		slow	80
ENSG00000105821_DNAJC2	ENSG00000105821	DNAJC2	1866	40.16	707	298	15.97	GC3	70	slow	90
ENSG00000105825_TFPI2	ENSG00000105825	TFPI2	705	49.14	439	266	37.73	GC2	70	fast	80
ENSG00000105835_NAMPT	ENSG00000105835	NAMPT	1476	39.52	471	227	15.38	GC3		slow	90
ENSG00000105849_TWISTNB	ENSG00000105849	TWISTNB	1023	46.73	565	320	31.28	GC3		slow	70
ENSG00000105851_PIK3CG	ENSG00000105851	PIK3CG	3309	52.06	1269	778	23.51	GC1		fast	90
ENSG00000105852_PON3	ENSG00000105852	PON3	1065	44.00	626	362	33.99	GC3	80	fast	90
ENSG00000105854_PON2	ENSG00000105854	PON2	1065	42.55	495	245	23.00	GC3		fast	90
ENSG00000105855_ITGB8	ENSG00000105855	ITGB8	2307	42.87	969	520	22.54	GC3	70	slow	90
ENSG00000105856_HBP1	ENSG00000105856	HBP1	1545	43.86	459	236	15.28	GC3		slow	90
ENSG00000105865_DUS4L	ENSG00000105865	DUS4L	954	40.02	395	151	15.83	GC3		fast	90
ENSG00000105866_SP4	ENSG00000105866	SP4	2355	46.65	600	224	9.51	GC3	70	slow	80
ENSG00000105875_WDR91	ENSG00000105875	WDR91	2244	58.77	1005	577	25.71			fast	90
ENSG00000105877_DNAH11	ENSG00000105877	DNAH11	13488	46.03	6819	3941	29.22	GC2	90	slow	80
ENSG00000105879_CBLL1	ENSG00000105879	CBLL1	1476	48.24	302	129	8.74	GC3		slow	70
ENSG00000105880_DLX5	ENSG00000105880	DLX5	870	60.67	244	98	11.26			slow	80
ENSG00000105926_MPP6	ENSG00000105926	MPP6	1623	41.20	539	255	15.71	GC3		slow	90
ENSG00000105928_DFNA5	ENSG00000105928	DFNA5	1491	52.35	963	625	41.92	GC1	70	fast	90
ENSG00000105929_ATP6V0A4	ENSG00000105929	ATP6V0A4	2523	49.63	1281	824	32.66	GC1	70	fast	90
ENSG00000105948_TTC26	ENSG00000105948	TTC26	1665	44.65	593	327	19.64	GC2		slow	90
ENSG00000105953_OGDH	ENSG00000105953	OGDH	3072	58.39	1108	715	23.27		70	fast	90
ENSG00000105963_ADAP1	ENSG00000105963	ADAP1	1125	61.49	551	244	21.69		70	fast	
ENSG00000105967_TFEC	ENSG00000105967	TFEC	1044	44.01	522	266	25.48	GC3		fast	90
ENSG00000105976_MET	ENSG00000105976	MET	4149	44.19	1884	1045	25.19	GC3	90	slow	90
ENSG00000105989_WNT2	ENSG00000105989	WNT2	1083	56.73	343	208	19.21	GC1		slow	90
ENSG00000105991_HOXA1	ENSG00000105991	HOXA1	1005	58.12	295	133	13.23	GC1		slow	70
ENSG00000105997_HOXA3	ENSG00000105997	HOXA3	1332	66.00	471	264	19.82		70	slow	80
ENSG00000106003_LFNG	ENSG00000106003	LFNG	1047	65.12	515	223	21.30			fast	70
ENSG00000106004_HOXA5	ENSG00000106004	HOXA5	813	63.43	119	35	4.31			slow	80
ENSG00000106009_BRAT1	ENSG00000106009	BRAT1	2469	66.81	1724	1113	45.08		80	fast	90
ENSG00000106012_IQCE	ENSG00000106012	IQCE	2094	58.85	1470	983	46.94	GC1	80	fast	80
ENSG00000106025_TSPAN12	ENSG00000106025	TSPAN12	918	46.03	329	192	20.92	GC2		slow	90
ENSG00000106034_CPED1	ENSG00000106034	CPED1	3084	43.99	1874	1010	32.75	GC3	90	fast	90
ENSG00000106038_EVX1	ENSG00000106038	EVX1	1224	69.47	490	209	17.08		70	slow	70
ENSG00000106052_TAX1BP1	ENSG00000106052	TAX1BP1	2454	40.29	1131	568	23.15	GC3	80	slow	90
ENSG00000106066_CPVL	ENSG00000106066	CPVL	1437	45.38	834	559	38.90	GC2	80	slow	80
ENSG00000106069_CHN2	ENSG00000106069	CHN2	1407	47.18	455	270	19.19	GC2	70	fast	90
ENSG00000106070_GRB10	ENSG00000106070	GRB10	1731	55.61	896	552	31.89	GC1	80	fast	90
ENSG00000106080_FKBP14	ENSG00000106080	FKBP14	636	43.72	239	134	21.07	GC2		slow	90
ENSG00000106086_PLEKHA8	ENSG00000106086	PLEKHA8	1563	45.87	709	356	22.78	GC2		slow	90
ENSG00000106100_NOD1	ENSG00000106100	NOD1	2862	59.49	1564	932	32.56		90	fast	90
ENSG00000106105_GARS	ENSG00000106105	GARS	2220	48.79	884	538	24.23	GC2	70	slow	90
ENSG00000106113_CRHR2	ENSG00000106113	CRHR2	1227	56.59	543	299	24.37			fast	90
ENSG00000106125_FAM188B	ENSG00000106125	FAM188B	2280	55.15	1306	672	29.47	GC1	70	fast	80
ENSG00000106128_GHRHR	ENSG00000106128	GHRHR	1272	58.68	646	377	29.64		70	fast	80
ENSG00000106144_CASP2	ENSG00000106144	CASP2	1359	57.25	680	411	30.24	GC1	70	fast	90
ENSG00000106211_HSPB1	ENSG00000106211	HSPB1	621	68.08	270	111	17.87			slow	
ENSG00000106236_NPTX2	ENSG00000106236	NPTX2	1296	64.87	547	250	19.29			fast	90
ENSG00000106261_ZKSCAN1	ENSG00000106261	ZKSCAN1	1692	52.35	652	394	23.29	GC2		slow	90
ENSG00000106263_EIF3B	ENSG00000106263	EIF3B	2331	53.35	965	599	25.70	GC1	70	fast	80
ENSG00000106266_SNX8	ENSG00000106266	SNX8	1368	61.53	763	399	29.17			fast	70
ENSG00000106278_PTPRZ1	ENSG00000106278	PTPRZ1	6960	44.82	3527	2016	28.97	GC3	80	slow	80
ENSG00000106290_TAF6	ENSG00000106290	TAF6	2037	59.96	686	367	18.02	GC1	70	slow	70
ENSG00000106299_WASL	ENSG00000106299	WASL	1518	47.95	621	286	18.84	GC3		slow	90
ENSG00000106302_HYAL4	ENSG00000106302	HYAL4	1446	44.34	849	513	35.48	GC3	70	fast	90
ENSG00000106327_TFR2	ENSG00000106327	TFR2	2421	63.45	1205	685	28.29		70	fast	90
ENSG00000106328_FSCN3	ENSG00000106328	FSCN3	1497	56.25	777	482	32.20	GC1	80	slow	90
ENSG00000106330_MOSPD3	ENSG00000106330	MOSPD3	708	63.22	289	154	21.75	GC1		slow	80
ENSG00000106331_PAX4	ENSG00000106331	PAX4	1044	60.56	676	440	42.15	GC1		fast	90
ENSG00000106333_PCOLCE	ENSG00000106333	PCOLCE	1365	62.33	608	356	26.08		70	slow	80
ENSG00000106336_FBXO24	ENSG00000106336	FBXO24	1743	58.72	679	350	20.08	GC1		slow	80
ENSG00000106344_RBM28	ENSG00000106344	RBM28	2277	50.36	1163	688	30.22	GC2	70	fast	90
ENSG00000106346_USP42	ENSG00000106346	USP42	3963	54.21	2389	1552	39.16	GC2	70	slow	70
ENSG00000106348_IMPDH1	ENSG00000106348	IMPDH1	1692	60.09	594	298	17.61			slow	80
ENSG00000106351_AGFG2	ENSG00000106351	AGFG2	1440	61.30	682	355	24.65	GC1		fast	90
ENSG00000106366_SERPINE1	ENSG00000106366	SERPINE1	1209	56.09	617	368	30.44		80	slow	80
ENSG00000106392_C1GALT1	ENSG00000106392	C1GALT1	1092	38.07	408	228	20.88	GC3	70	slow	90
ENSG00000106410_NOBOX	ENSG00000106410	NOBOX	1698	61.80	1250	756	44.52	GC1	80	fast	70
ENSG00000106415_GLCCI1	ENSG00000106415	GLCCI1	1188	50.49	449	223	18.77	GC2		slow	90
ENSG00000106443_PHF14	ENSG00000106443	PHF14	2847	42.54	945	449	15.77	GC3	70	slow	90
ENSG00000106459_NRF1	ENSG00000106459	NRF1	1512	54.09	614	294	19.44	GC2		fast	90
ENSG00000106477_CEP41	ENSG00000106477	CEP41	1122	51.06	534	323	28.79	GC2		slow	90
ENSG00000106483_SFRP4	ENSG00000106483	SFRP4	1041	55.30	393	209	20.08	GC1		fast	90
ENSG00000106484_MEST	ENSG00000106484	MEST	1008	51.72	330	198	19.64	GC1		slow	90
ENSG00000106511_MEOX2	ENSG00000106511	MEOX2	912	56.73	289	130	14.25	GC1		slow	80
ENSG00000106524_ANKMY2	ENSG00000106524	ANKMY2	1326	43.31	634	343	25.87	GC3		slow	90
ENSG00000106536_POU6F2	ENSG00000106536	POU6F2	2049	58.59	888	342	16.69	GC1		fast	80
ENSG00000106537_TSPAN13	ENSG00000106537	TSPAN13	615	47.73	213	123	20.00	GC2		slow	80
ENSG00000106546_AHR	ENSG00000106546	AHR	2547	43.97	1481	883	34.67	GC3	80	fast	90
ENSG00000106554_CHCHD3	ENSG00000106554	CHCHD3	684	51.03	325	157	22.95	GC2		slow	90
ENSG00000106571_GLI3	ENSG00000106571	GLI3	4749	59.54	2048	1330	28.01	GC1	90	slow	80
ENSG00000106605_BLVRA	ENSG00000106605	BLVRA	891	50.76	424	245	27.50	GC1	70	fast	80
ENSG00000106608_URGCP	ENSG00000106608	URGCP	2769	59.94	1436	930	33.59		80	fast	80
ENSG00000106609_TMEM248	ENSG00000106609	TMEM248	945	50.72	339	218	23.07	GC1		slow	90
ENSG00000106624_AEBP1	ENSG00000106624	AEBP1	3372	62.46	1690	960	28.47		80	fast	80
ENSG00000106628_POLD2	ENSG00000106628	POLD2	1410	60.54	639	365	25.89		70	fast	80
ENSG00000106633_GCK	ENSG00000106633	GCK	1401	61.34	546	309	22.06		70	fast	90
ENSG00000106635_BCL7B	ENSG00000106635	BCL7B	609	55.83	251	109	17.90	GC1		fast	90
ENSG00000106638_TBL2	ENSG00000106638	TBL2	1341	57.17	638	337	25.13	GC1		slow	90
ENSG00000106665_CLIP2	ENSG00000106665	CLIP2	3138	64.82	1484	644	20.52		70	fast	80
ENSG00000106683_LIMK1	ENSG00000106683	LIMK1	1893	61.35	739	360	19.02			fast	80
ENSG00000106686_SPATA6L	ENSG00000106686	SPATA6L	1221	46.92	824	459	37.59	GC3	70	fast	90
ENSG00000106688_SLC1A1	ENSG00000106688	SLC1A1	1575	49.60	722	471	29.90	GC1	70	fast	90
ENSG00000106689_LHX2	ENSG00000106689	LHX2	1221	62.67	325	168	13.76			fast	80
ENSG00000106692_FKTN	ENSG00000106692	FKTN	1386	41.62	562	301	21.72	GC3	70	slow	90
ENSG00000106723_SPIN1	ENSG00000106723	SPIN1	789	47.59	228	129	16.35	GC2		slow	90
ENSG00000106733_NMRK1	ENSG00000106733	NMRK1	600	42.95	323	217	36.17	GC3		slow	90
ENSG00000106771_TMEM245	ENSG00000106771	TMEM245	2661	51.87	1213	594	22.32	GC2	70	fast	90
ENSG00000106772_PRUNE2	ENSG00000106772	PRUNE2	8376	47.82	5750	3556	42.45	GC3	90	fast	90
ENSG00000106785_TRIM14	ENSG00000106785	TRIM14	1329	62.68	851	444	33.41		80	slow	70
ENSG00000106789_CORO2A	ENSG00000106789	CORO2A	1578	56.94	771	444	28.14			fast	90
ENSG00000106799_TGFBR1	ENSG00000106799	TGFBR1	1416	42.64	421	247	17.44	GC3	70	slow	90
ENSG00000106809_OGN	ENSG00000106809	OGN	897	38.02	430	230	25.64	GC3	70	fast	90
ENSG00000106819_ASPN	ENSG00000106819	ASPN	1122	38.83	473	295	26.29	GC3	80	fast	90
ENSG00000106823_ECM2	ENSG00000106823	ECM2	2085	43.75	1236	770	36.93	GC3	80	fast	90
ENSG00000106829_TLE4	ENSG00000106829	TLE4	2322	55.30	688	416	17.92	GC1	70	slow	90
ENSG00000106852_LHX6	ENSG00000106852	LHX6	1164	64.40	386	215	18.47			fast	80
ENSG00000106853_PTGR1	ENSG00000106853	PTGR1	990	47.15	505	294	29.70	GC3		slow	80
ENSG00000106868_SUSD1	ENSG00000106868	SUSD1	2118	47.80	1317	759	35.84	GC2		fast	90
ENSG00000106927_AMBP	ENSG00000106927	AMBP	1059	57.59	601	385	36.36	GC1	70	fast	80
ENSG00000106948_AKNA	ENSG00000106948	AKNA	4299	63.95	3165	1938	45.08	GC1	90	fast	90
ENSG00000106952_TNFSF8	ENSG00000106952	TNFSF8	705	47.96	428	249	35.32	GC2		slow	90
ENSG00000106976_DNM1	ENSG00000106976	DNM1	2583	59.10	1075	510	19.74			slow	80
ENSG00000106991_ENG	ENSG00000106991	ENG	1968	60.68	1185	706	35.87		80	fast	80
ENSG00000106992_AK1	ENSG00000106992	AK1	633	58.85	262	147	23.22			slow	90
ENSG00000106993_CDC37L1	ENSG00000106993	CDC37L1	1014	43.28	410	199	19.63	GC3		slow	90
ENSG00000107021_TBC1D13	ENSG00000107021	TBC1D13	1203	54.57	412	223	18.54			fast	90
ENSG00000107036_RIC1	ENSG00000107036	RIC1	4092	47.87	1634	995	24.32	GC2	80	slow	90
ENSG00000107099_DOCK8	ENSG00000107099	DOCK8	6252	51.13	2858	1610	25.75	GC1	70	fast	90
ENSG00000107104_KANK1	ENSG00000107104	KANK1	4077	56.22	2153	1288	31.59	GC1	70	slow	80
ENSG00000107105_ELAVL2	ENSG00000107105	ELAVL2	1167	45.87	206	93	7.97	GC3		slow	90
ENSG00000107159_CA9	ENSG00000107159	CA9	1350	60.33	831	459	34.00	GC1	70	slow	90
ENSG00000107164_FUBP3	ENSG00000107164	FUBP3	1719	55.29	702	352	20.48	GC2		fast	90
ENSG00000107165_TYRP1	ENSG00000107165	TYRP1	1614	47.67	796	493	30.55	GC3	70	fast	90
ENSG00000107175_CREB3	ENSG00000107175	CREB3	1119	54.97	765	426	38.07	GC1	80	fast	80
ENSG00000107185_RGP1	ENSG00000107185	RGP1	1176	56.44	403	209	17.77	GC2	70	slow	80
ENSG00000107186_MPDZ	ENSG00000107186	MPDZ	6216	47.35	3058	1812	29.15	GC3	80	slow	90
ENSG00000107187_LHX3	ENSG00000107187	LHX3	1212	68.90	684	324	26.73			slow	70
ENSG00000107201_DDX58	ENSG00000107201	DDX58	2781	41.89	1604	945	33.98	GC3	80	fast	90
ENSG00000107242_PIP5K1B	ENSG00000107242	PIP5K1B	1527	45.18	613	347	22.72	GC2		slow	90
ENSG00000107249_GLIS3	ENSG00000107249	GLIS3	2796	58.70	1156	547	19.56	GC1	80	fast	
ENSG00000107262_BAG1	ENSG00000107262	BAG1	987	54.35	573	280	28.37	GC2	70	fast	80
ENSG00000107263_RAPGEF1	ENSG00000107263	RAPGEF1	3702	55.87	1468	768	20.75	GC1	80	fast	90
ENSG00000107282_APBA1	ENSG00000107282	APBA1	2502	61.90	842	472	18.86		70	slow	80
ENSG00000107290_SETX	ENSG00000107290	SETX	8067	43.17	4925	3122	38.70	GC3	90	slow	80
ENSG00000107295_SH3GL2	ENSG00000107295	SH3GL2	1059	49.75	357	194	18.32	GC2		slow	90
ENSG00000107331_ABCA2	ENSG00000107331	ABCA2	7245	62.25	2836	1436	19.82		70	fast	
ENSG00000107362_ABHD17B	ENSG00000107362	ABHD17B	867	42.44	229	114	13.15	GC3		slow	90
ENSG00000107371_EXOSC3	ENSG00000107371	EXOSC3	828	53.62	317	174	21.01	GC2		slow	90
ENSG00000107372_ZFAND5	ENSG00000107372	ZFAND5	642	44.74	109	42	6.54	GC3		slow	90
ENSG00000107438_PDLIM1	ENSG00000107438	PDLIM1	990	52.29	408	217	21.92	GC1		fast	90
ENSG00000107443_CCNJ	ENSG00000107443	CCNJ	1152	45.99	344	181	15.71	GC3	70	slow	90
ENSG00000107447_DNTT	ENSG00000107447	DNTT	1533	46.69	790	483	31.51	GC2	70	fast	90
ENSG00000107485_GATA3	ENSG00000107485	GATA3	1335	63.34	409	244	18.28		70	slow	80
ENSG00000107518_ATRNL1	ENSG00000107518	ATRNL1	4044	42.30	1365	735	18.18	GC3	70	fast	90
ENSG00000107521_HPS1	ENSG00000107521	HPS1	2109	61.18	1219	631	29.92		70	fast	90
ENSG00000107551_RASSF4	ENSG00000107551	RASSF4	966	54.88	575	349	36.13	GC1	70	slow	80
ENSG00000107554_DNMBP	ENSG00000107554	DNMBP	4746	52.38	2657	1729	36.43	GC2	80	fast	90
ENSG00000107560_RAB11FIP2	ENSG00000107560	RAB11FIP2	1539	43.42	576	304	19.75	GC3		slow	90
ENSG00000107581_EIF3A	ENSG00000107581	EIF3A	4050	47.62	1615	1046	25.83	GC3	80	slow	90
ENSG00000107593_PKD2L1	ENSG00000107593	PKD2L1	2415	53.25	1308	706	29.23	GC1	70	fast	90
ENSG00000107611_CUBN	ENSG00000107611	CUBN	10872	48.26	6295	3852	35.43	GC2	90	fast	80
ENSG00000107614_TRDMT1	ENSG00000107614	TRDMT1	1176	40.59	666	414	35.20	GC3	70	fast	90
ENSG00000107625_DDX50	ENSG00000107625	DDX50	2214	42.71	688	319	14.41	GC3	70	slow	90
ENSG00000107643_MAPK8	ENSG00000107643	MAPK8	1284	42.30	385	187	14.56	GC3		slow	90
ENSG00000107651_SEC23IP	ENSG00000107651	SEC23IP	3003	47.24	1383	809	26.94	GC3	70	fast	90
ENSG00000107669_ATE1	ENSG00000107669	ATE1	1566	47.19	841	516	32.95	GC2	70	fast	90
ENSG00000107672_NSMCE4A	ENSG00000107672	NSMCE4A	1146	47.97	602	328	28.62	GC2		fast	90
ENSG00000107679_PLEKHA1	ENSG00000107679	PLEKHA1	1194	46.79	450	289	24.20	GC3		slow	90
